66,79,1
66,80,1.41421
67,79,1.41421
67,68,1
67,80,1
67,81,1.41421
68,80,1.41421
68,69,1
68,81,1
68,82,1.41421
69,81,1.41421
69,70,1
69,82,1
69,83,1.41421
70,82,1.41421
70,71,1
70,83,1
70,84,1.41421
71,83,1.41421
71,72,1
71,84,1
71,85,1.41421
72,84,1.41421
72,73,1
72,85,1
72,86,1.41421
73,85,1.41421
73,74,1
73,86,1
73,87,1.41421
74,86,1.41421
74,75,1
74,87,1
74,88,1.41421
75,87,1.41421
75,76,1
75,88,1
75,89,1.41421
76,88,1.41421
76,77,1
76,89,1
76,90,1.41421
77,89,1.41421
78,79,1
78,91,1
78,92,1.41421
79,91,1.41421
79,80,1
79,92,1
79,93,1.41421
80,92,1.41421
80,81,1
80,93,1
80,94,1.41421
81,93,1.41421
81,82,1
81,94,1
81,95,1.41421
82,94,1.41421
82,83,1
82,95,1
82,96,1.41421
83,95,1.41421
83,84,1
83,96,1
83,97,1.41421
84,96,1.41421
84,85,1
84,97,1
84,98,1.41421
85,97,1.41421
85,86,1
85,98,1
85,99,1.41421
86,98,1.41421
86,87,1
86,99,1
86,100,1.41421
87,99,1.41421
87,88,1
87,100,1
87,101,1.41421
88,100,1.41421
88,89,1
88,101,1
88,102,1.41421
89,101,1.41421
89,90,1
89,102,1
89,103,1.41421
90,102,1.41421
91,92,1
91,104,1
91,105,1.41421
92,104,1.41421
92,93,1
92,105,1
92,106,1.41421
93,105,1.41421
93,94,1
93,106,1
93,107,1.41421
94,106,1.41421
94,95,1
94,107,1
94,108,1.41421
95,107,1.41421
95,96,1
95,108,1
95,109,1.41421
96,108,1.41421
96,97,1
96,109,1
96,110,1.41421
97,109,1.41421
97,98,1
97,110,1
97,111,1.41421
98,110,1.41421
98,99,1
98,111,1
98,112,1.41421
99,111,1.41421
99,100,1
99,112,1
99,113,1.41421
100,112,1.41421
100,101,1
100,113,1
100,114,1.41421
101,113,1.41421
101,102,1
101,114,1
101,115,1.41421
102,114,1.41421
102,103,1
102,115,1
102,116,1.41421
103,115,1.41421
104,105,1
104,117,1
104,118,1.41421
105,117,1.41421
105,106,1
105,118,1
105,119,1.41421
106,118,1.41421
106,107,1
106,119,1
106,120,1.41421
107,119,1.41421
107,108,1
107,120,1
107,121,1.41421
108,120,1.41421
108,109,1
108,121,1
108,122,1.41421
109,121,1.41421
109,110,1
109,122,1
109,123,1.41421
110,122,1.41421
110,111,1
110,123,1
110,124,1.41421
111,123,1.41421
111,112,1
111,124,1
111,125,1.41421
112,124,1.41421
112,113,1
112,125,1
112,126,1.41421
113,125,1.41421
113,114,1
113,126,1
113,127,1.41421
114,126,1.41421
114,115,1
114,127,1
114,128,1.41421
115,127,1.41421
115,116,1
115,128,1
115,129,1.41421
116,128,1.41421
117,118,1
117,130,1
117,131,1.41421
118,130,1.41421
118,119,1
118,131,1
118,132,1.41421
119,131,1.41421
119,120,1
119,132,1
119,133,1.41421
120,132,1.41421
120,121,1
120,133,1
120,134,1.41421
121,133,1.41421
121,122,1
121,134,1
121,135,1.41421
122,134,1.41421
122,123,1
122,135,1
122,136,1.41421
123,135,1.41421
123,124,1
123,136,1
123,137,1.41421
124,136,1.41421
124,125,1
124,137,1
124,138,1.41421
125,137,1.41421
125,126,1
125,138,1
125,139,1.41421
126,138,1.41421
126,127,1
126,139,1
126,140,1.41421
127,139,1.41421
127,128,1
127,140,1
127,141,1.41421
128,140,1.41421
128,129,1
128,141,1
128,142,1.41421
129,141,1.41421
130,131,1
130,143,1
130,144,1.41421
131,143,1.41421
131,132,1
131,144,1
131,145,1.41421
132,144,1.41421
132,133,1
132,145,1
132,146,1.41421
133,145,1.41421
133,134,1
133,146,1
133,147,1.41421
134,146,1.41421
134,135,1
134,147,1
134,148,1.41421
135,147,1.41421
135,136,1
135,148,1
135,149,1.41421
136,148,1.41421
136,137,1
136,149,1
136,150,1.41421
137,149,1.41421
137,138,1
137,150,1
